tr_type,route,company,tr_from,tr_to,departure,arrival,source
Fly,AF1774,Air France,Paris,Oslo,2021-08-11 14:10:00,2021-08-11 16:25:00,fhi:web
Tog,45,SJ Nord,Oslo,Trondheim,2021-08-11 14:02:00,2021-08-11 20:46:00,fhi:web
Buss,NW160,Nor-Way,Oslo,Sogndal,2021-08-11 13:05:00,2021-08-11 20:15:00,fhi:web
Fly,SK1872,SAS,København,Stavanger,2021-08-11 13:00:00,2021-08-11 14:10:00,fhi:web
Skip,Superspeed,ColorLine,Hirtshals,Larvik,2021-08-11 12:45:00,2021-08-11 16:30:00,fhi:web
Tog,25,SJ Nord,Hamar,Trondheim S,2021-08-11 12:10:00,2021-08-11 18:23:00,fhi:web
Tog,2385,SJ Nord,Hamar,Trondheim,2021-08-11 12:10:00,2021-08-11 18:23:00,fhi:web
Fly,DY1909,Norwegian,Pristina,Oslo,2021-08-11 10:40:00,2021-08-11 14:05:00,fhi:web
Fly,SK255,SAS,Oslo,Bergen,2021-08-11 09:00:00,2021-08-11 09:50:00,fhi:web
Fly,TK1751,Turkish Airlines,Istanbul,Oslo,2021-08-11 07:35:00,2021-08-11 10:25:00,fhi:web
Fly,W67705,Wizz Air,Skopje,Oslo,2021-08-10 18:05:00,2021-08-10 21:20:00,fhi:web
Fly,DY1083,Norwegian,Vilnius,Oslo,2021-08-10 14:30:00,2021-08-10 15:20:00,fhi:web
Buss,NW400,Nor-Way,Stavanger,Bergen,2021-08-10 13:20:00,2021-08-10 17:00:00,fhi:web
Fly,SK1872,SAS,København,Stavanger,2021-08-10 13:00:00,2021-08-10 14:10:00,fhi:web
Fly,SK4638,SAS,Athen,Oslo,2021-08-10 12:40:00,2021-08-10 15:30:00,fhi:web
Fly,PC1273,Pegasus Airlines,Istanbul,Oslo,2021-08-10 10:50:00,2021-08-10 13:45:00,fhi:web
Fly,EK159,Emirates,Dubai,Oslo,2021-08-10 07:25:00,2021-08-10 12:30:00,fhi:web
Tog,2378,SJ Nord,Røros,Hamar,2021-08-10 04:19:00,2021-08-10 07:40:00,fhi:web
Tog,2391,SJ Nord,Hamar,Røros,2021-08-09 20:17:00,2021-08-09 23:39:00,fhi:web
Fly,OS355,Austrian Airlines,Wien,Oslo,2021-08-09 17:30:00,2021-08-09 19:15:00,fhi:web
Fly,DY3239,Norwegian,København,Oslo,2021-08-09 17:00:00,2021-08-09 18:10:00,fhi:web
Fly,DY620,Norwegian,Oslo,Bergen,2021-08-09 16:20:00,2021-08-09 17:15:00,fhi:web
Fly,SK4094,SAS,Oslo,Evenes,2021-08-09 16:00:00,2021-08-09 17:35:00,fhi:web
Buss,420,Brakar,Geilo,Kongsberg,2021-08-09 14:15:00,2021-08-09 17:35:00,fhi:web
Fly,AF1774,Air France,Paris,Oslo,2021-08-09 14:10:00,2021-08-09 16:25:00,fhi:web
Buss,NW192,Konkurrenten,Oslo,Stavanger,2021-08-09 13:10:00,2021-08-09 21:45:00,fhi:web
Buss,NW-192,Konkurrenten,Oslo,Stavanger,2021-08-09 13:10:00,2021-08-09 21:45:00,fhi:web
Fly,SK4704,SAS,Nice,Oslo,2021-08-09 12:45:00,2021-08-09 15:40:00,fhi:web
Buss,330,Brakar,Gol,Geilo,2021-08-09 12:45:00,2021-08-09 13:45:00,fhi:web
Fly,VY8538,Vueling,Barcelona,Oslo,2021-08-09 12:40:00,2021-08-09 16:10:00,fhi:web
Fly,W61743,Wizz Air,Gdansk,Sandefjord,2021-08-09 12:40:00,2021-08-09 14:10:00,fhi:web
Fly,WF954,Widerøe,Tromsø,Lakselv,2021-08-09 12:35:00,2021-08-09 13:25:00,fhi:web
Fly,DY1741,Norwegian,Barcelona,Oslo,2021-08-09 12:20:00,2021-08-09 15:45:00,fhi:web
Fly,DY1801,Norwegian,Malaga,Oslo,2021-08-09 11:00:00,2021-08-09 15:20:00,fhi:web
Fly,WF673,Widerøe,Trondheim,Bergen,2021-08-09 09:10:00,2021-08-09 10:15:00,fhi:web
Fly,DY604,Norwegian,Oslo,Bergen,2021-08-09 08:00:00,2021-08-09 08:55:00,fhi:web
Fly,DY524,Norwegian,Oslo,Stavanger,2021-08-09 07:55:00,2021-08-09 08:45:00,fhi:web
Fly,TK1751,Turkish Airlines,Istanbul,Oslo,2021-08-09 07:35:00,2021-08-09 09:30:00,fhi:web
Fly,DX021,DAT,Esbjerg,Stavanger,2021-08-09 07:20:00,2021-08-09 08:30:00,fhi:web
Fly,WF706,Widerøe,Brønnøysund,Trondheim,2021-08-09 06:55:00,2021-08-09 07:40:00,fhi:web
Fly,W61747,Wizz Air,Gdansk,Stavanger,2021-08-09 06:15:00,2021-08-09 08:00:00,fhi:web
Fly,JU450,AIR SERBIA,BELGRADE,OSLO,2021-08-09 06:05:00,2021-08-09 09:00:00,fhi:web
Fly,JU450,AIR SERBIA,Belgrade,Oslo,2021-08-09 06:05:00,2021-08-09 09:00:00,fhi:web
Fly,DY548,Norwegian,Oslo,Stavanger,2021-08-08 20:45:00,2021-08-08 21:35:00,fhi:web
Fly,W61783,Wizz Air,Gdansk,Oslo,2021-08-08 20:15:00,2021-08-08 21:55:00,fhi:web
Fly,SK4734,SAS,Split,Oslo,2021-08-08 19:40:00,2021-08-08 22:30:00,fhi:web
Fly,DY629,Norwegian,Bergen,Oslo,2021-08-08 19:10:00,2021-08-08 20:05:00,fhi:web
Fly,DY415,Norwegian,Ålesund,Oslo,2021-08-08 18:30:00,2021-08-08 19:25:00,fhi:web
Fly,DY366,Norwegian,Oslo,Evenes,2021-08-08 17:55:00,2021-08-08 19:35:00,fhi:web
Tog,711,GoAhead,Kristiansand,Stavanger,2021-08-08 16:12:00,2021-08-08 19:19:00,fhi:web
Fly,DY358,Norwegian,Oslo,Evenes,2021-08-08 16:10:00,2021-08-08 17:50:00,fhi:web
Fly,KL1203,KLM,Amsterdam,Stavanger,2021-08-08 16:10:00,2021-08-08 17:35:00,fhi:web
Fly,SK1460,SAS,København,Oslo,2021-08-08 15:30:00,2021-08-08 16:40:00,fhi:web
Fly,KL1189,KLM,Amsterdam,Bergen,2021-08-08 15:15:00,2021-08-08 16:55:00,fhi:web
Fly,DY761,Norwegian,Trondheim,Oslo,2021-08-08 15:00:00,2021-08-08 15:55:00,fhi:web
Fly,WF924,Widerøe,Tromsø,Alta,2021-08-08 15:00:00,2021-08-08 15:40:00,fhi:web
Fly,DY535,Norwegian,Stavanger,Oslo,2021-08-08 14:15:00,2021-08-08 15:05:00,fhi:web
Fly,DK1587,Sunclass Airlined,Rhodos,Oslo,2021-08-08 13:30:00,2021-08-08 16:35:00,fhi:web
Fly,VY8538,Vueling,Barcelona,Oslo,2021-08-08 13:25:00,2021-08-08 16:55:00,fhi:web
Fly,W64117,Wizz Air,Belgrade,OSLO,2021-08-08 12:55:00,2021-08-08 15:45:00,fhi:web
Fly,VY1878,Vueling,Barcelona,Stavanger,2021-08-08 12:05:00,2021-08-08 15:25:00,fhi:web
Fly,DY8417,Norwegian,Evenes,Oslo,2021-08-08 12:00:00,2021-08-08 13:45:00,fhi:web
Fly,WF587,Widerøe,Bergen,Kristiansand,2021-08-08 11:30:00,2021-08-08 12:30:00,fhi:web
Tog,R10,Vy,Oslo,Gran,2021-08-08 11:20:00,2021-08-08 13:30:00,fhi:web
Fly,PC1273,Pegasus Airlines,Istanbul,Oslo,2021-08-08 10:45:00,2021-08-08 13:40:00,fhi:web
Fly,SU2174,Russian Airlines,Moskva,Oslo,2021-08-08 10:15:00,2021-08-08 12:10:00,fhi:web
Fly,SK849,SAS,Stockholm,Oslo,2021-08-08 08:40:00,2021-08-08 09:40:00,fhi:web
Tog,R30,Vy,Nittedal,Oslo,2021-08-08 08:14:00,2021-08-08 08:48:00,fhi:web
Fly,DY805,Norwegian,Stockholm,Oslo,2021-08-08 07:40:00,2021-08-08 08:40:00,fhi:web
Fly,EK159,Emirates,Dubai,Oslo,2021-08-08 07:25:00,2021-08-08 12:30:00,fhi:web
Fly,IB5683,Iberian,Barcelona,Oslo,2021-08-08 07:20:00,2021-08-08 10:50:00,fhi:web
Fly,JU450,AIR SERBIA,BELGRADE,OSLO,2021-08-08 06:05:00,2021-08-08 09:00:00,fhi:web
Fly,JU450,AIR SERBIA,Belgrade,Oslo,2021-08-08 06:05:00,2021-08-08 09:00:00,fhi:web
Fly,QR631,Qatar Air,Sialkot,Doha,2021-08-08 03:40:00,2021-08-08 05:40:00,fhi:web
Tog,711,Vy,Kristiansand,Stavanger,2021-08-08 00:00:00,2021-08-08 00:00:00,fhi:web
Fly,A34398,Aegean Airlines,Rhodos,Oslo,2021-08-07 16:10:00,2021-08-07 19:10:00,fhi:web
Tog,41,Vy,Bergen,Oslo,2021-08-07 15:57:00,2021-08-07 22:27:00,fhi:web
Fly,KL1175,KLM,Amsterdam,Trondheim,2021-08-07 14:20:00,2021-08-07 16:30:00,fhi:web
Skip,Color Fantasy,Colorline,Oslo,Kiel,2021-08-07 14:00:00,2021-08-09 10:00:00,fhi:web
Fly,W67705,Wizz Air,Skopje,Oslo Torp,2021-08-07 13:05:00,2021-08-07 16:20:00,fhi:web
Fly,DY1403,Norwegian,Nice,Oslo,2021-08-07 12:45:00,2021-08-07 15:35:00,fhi:web
Fly,DY1261,Norwegian,Antalya,Oslo,2021-08-07 11:50:00,2021-08-07 15:10:00,fhi:web
Fly,DY1781,Norwegian,Faro,Oslo,2021-08-07 11:30:00,2021-08-07 16:30:00,fhi:web
Fly,DY1765,Norwegian,Malaga,Stavanger,2021-08-07 11:05:00,2021-08-07 14:16:00,fhi:web
Fly,DY1991,Norwegian,Split,Oslo,2021-08-07 10:40:00,2021-08-07 13:30:00,fhi:web
Buss,600-65,Nettbuss,København,Oslo,2021-08-07 10:10:00,2021-08-07 20:00:00,fhi:web
Tog,R11,Vy,Lillehammer,Sandefjord,2021-08-07 09:07:00,2021-08-07 14:30:00,fhi:web
Fly,KL1185,KLM,Amsterdam,Bergen,2021-08-07 08:55:00,2021-08-07 10:35:00,fhi:web
Fly,TK1751,Turkish Airlines,Istanbul,Oslo,2021-08-07 07:55:00,2021-08-07 10:25:00,fhi:web
Fly,AF1274,Air France,Paris,Oslo,2021-08-06 20:55:00,2021-08-06 23:15:00,fhi:web
Fly,DY1113,Norwegian,London,Oslo,2021-08-06 20:45:00,2021-08-06 23:50:00,fhi:web
Fly,WF357,Widerøe,London,Bergen,2021-08-06 18:50:00,2021-08-06 22:00:00,fhi:web
Fly,DY632,Norwegian,Oslo,Bergen,2021-08-06 18:45:00,2021-08-06 19:40:00,fhi:web
Fly,SK810,SAS,London,Oslo,2021-08-06 17:30:00,2021-08-06 20:45:00,fhi:web
Fly,SK1468,SAS,København,Oslo,2021-08-06 17:05:00,2021-08-06 18:15:00,fhi:web
Fly,LH2456,LufthansA,Munchen,Oslo,2021-08-06 16:40:00,2021-08-06 18:50:00,fhi:web
Buss,23-705,Nordlandsbuss,Mosjøen,Søvik,2021-08-06 16:40:00,2021-08-06 18:00:00,fhi:web
Fly,AY915,FinnAir,Helsinki,Oslo,2021-08-06 16:25:00,2021-08-06 17:35:00,fhi:web
Fly,FR9069,RyanAir,Alicante,Oslo,2021-08-06 16:00:00,2021-08-06 19:30:00,fhi:web
Skip,Pearl Seaways,DFDS,København,Fredrikshavn,2021-08-06 14:15:00,2021-08-07 09:15:00,fhi:web
Fly,AF1774,Air France,Paris,Oslo,2021-08-06 14:10:00,2021-08-06 16:25:00,fhi:web
Fly,WF712,Widerøe,Bodø,Brønøysund,2021-08-06 12:50:00,2021-08-06 13:35:00,fhi:web
Fly,W61646,Wizz Air,Kaunas,Ålesund,2021-08-06 12:45:00,2021-08-06 14:00:00,fhi:web
Fly,WF750,Widerøe,Bodø,Mosjøen,2021-08-06 12:45:00,2021-08-06 13:25:00,fhi:web
Fly,WF720,Widerøe,Oslo,Sandnessjøen,2021-08-06 11:30:00,2021-08-06 13:15:00,fhi:web
Fly,DY1801,Norwegian,Malaga,Oslo,2021-08-06 11:00:00,2021-08-06 15:00:00,fhi:web
Fly,WF808,Widerøe,Bodø,Leknes,2021-08-06 10:55:00,2021-08-06 11:20:00,fhi:web
Fly,SK4106,SAS,OSLO,BODØ,2021-08-06 10:50:00,2021-08-06 12:15:00,fhi:web
Fly,SK4106,SAS,Oslo,Bodø,2021-08-06 10:50:00,2021-08-06 12:15:00,fhi:web
Fly,DY1403,Norwegian,Nice,Oslo,2021-08-06 10:35:00,2021-08-06 13:25:00,fhi:web
Buss,VY6,VY,Fredrikstda,Oslo,2021-08-06 10:05:00,2021-08-06 11:25:00,fhi:web
Fly,AF1252 ,Air France,Paris,Bergen,2021-08-06 09:20:00,2021-08-06 11:30:00,fhi:web
Fly,SK1462,SAS,København,Oslo,2021-08-06 08:00:00,2021-08-06 09:10:00,fhi:web
Fly,DY742,Norwegian,Oslo,Trondheim,2021-08-06 08:00:00,2021-08-06 08:55:00,fhi:web
Fly,QR175,Qatar Air,Doha,Oslo,2021-08-06 07:55:00,2021-08-06 13:40:00,fhi:web
Fly,FS450,Flyr,Oslo,Evenes,2021-08-06 07:50:00,2021-08-06 09:35:00,fhi:web
Fly,TK171,Turkish Airlines,Istanbul,Oslo,2021-08-06 07:35:00,2021-08-06 10:25:00,fhi:web
Fly,VY8538,Vueling,Barcelona,Oslo,2021-08-06 07:00:00,2021-08-06 10:30:00,fhi:web
Fly,DK1563,SunClass Airlines,Chania,Oslo,2021-08-06 01:25:00,2021-08-06 04:25:00,fhi:web
Fly,KL1193,KLM,Amsterdam,Bergen,2021-08-05 21:10:00,2021-08-05 22:50:00,fhi:web
Fly,DY1191,Norwegian,Helsinki,Oslo,2021-08-05 20:30:00,2021-08-05 20:50:00,fhi:web
Fly,DY1897,Norwegian,Chania,Oslo,2021-08-05 19:00:00,2021-08-05 22:00:00,fhi:web
Fly,W65033,Wizz Air,Krakow,Oslo,2021-08-05 19:00:00,2021-08-05 21:15:00,fhi:web
Fly,WF588,Widerøe,Kristiansand,Bergen,2021-08-05 17:05:00,2021-08-05 13:45:00,fhi:web
Fly,SK1460,SAS,København,Oslo,2021-08-05 16:40:00,2021-08-05 17:50:00,fhi:web
Fly,FR8508,RyanAir,Istanbul,Oslo,2021-08-05 13:40:00,2021-08-05 15:45:00,fhi:web
Fly,TK1753,Turkish Airlines,Istanbul,Oslo,2021-08-05 13:35:00,2021-08-05 16:30:00,fhi:web
Fly,WF458,Widerøe,Bergen,Ålesund,2021-08-05 12:55:00,2021-08-05 17:50:00,fhi:web
Fly,W64117,Wizz Air,Beograd,Oslo Torp,2021-08-05 12:50:00,2021-08-05 15:40:00,fhi:web
Fly,DY608,Norwegian,Oslo,Bergen,2021-08-05 10:40:00,2021-08-05 11:35:00,fhi:web
Fly,KL1199,KLM,Amsterdam,Stavanger,2021-08-05 09:40:00,2021-08-05 11:10:00,fhi:web
Fly,AF1252,Air France,Paris,Bergen,2021-08-05 09:20:00,2021-08-05 11:30:00,fhi:web
Tog,Sørtoget,GoAhead,Oslo,Bø,2021-08-05 07:25:00,2021-08-05 09:22:00,fhi:web
Fly,SK1474,SAS,København,Oslo,2021-08-04 23:00:00,2021-08-05 00:10:00,fhi:web
Fly,LH864,Lufthansa,Frankfurt,Oslo,2021-08-04 21:30:00,2021-08-04 23:25:00,fhi:web
Fly,KL1151,KLM,Amsterdam,Oslo,2021-08-04 20:50:00,2021-08-04 22:35:00,fhi:web
Fly,WF593,Widerøe,Bergen,Kristiansand,2021-08-04 20:00:00,2021-08-04 20:40:00,fhi:web
Fly,DY382,Norwegian,Oslo,Tromsø,2021-08-04 17:30:00,2021-08-04 19:25:00,fhi:web
Fly,SK4172,SAS,Bergen,Trondheim,2021-08-04 17:15:00,2021-08-04 18:15:00,fhi:web
Fly,WF627,Widerøe,Tromsø,Bergen,2021-08-04 17:10:00,2021-08-04 19:15:00,fhi:web
Fly,KL1209,KLM,Amsterdam,Kristiansand,2021-08-04 16:15:00,2021-08-04 17:35:00,fhi:web
Fly,DY756,Norwegian,Oslo,Trondheim,2021-08-04 14:40:00,2021-08-04 15:35:00,fhi:web
Fly,KL1147,KLM,Amsterdam,Oslo,2021-08-04 14:30:00,2021-08-04 16:20:00,fhi:web
Fly,DY1909,Norwegian,Prishtina,Oslo,2021-08-04 14:15:00,2021-08-04 15:25:00,fhi:web
Fly,SK4756,SAS,Frankfurt,Oslo,2021-08-04 12:00:00,2021-08-04 14:00:00,fhi:web
Fly,DY1885,Norwegian,Athen,Oslo,2021-08-04 11:50:00,2021-08-04 14:45:00,fhi:web
Fly,PC1273,Pegasus Airlines,Istanbul,Oslo,2021-08-04 10:45:00,2021-08-04 13:40:00,fhi:web
Fly,DY1403,Norwegian,Nice,Oslo,2021-08-04 10:35:00,2021-08-04 13:25:00,fhi:web
Fly,SK260,SAS,Bergen,Oslo,2021-08-04 10:20:00,2021-08-04 11:10:00,fhi:web
